Geography,IsActiveMember,HasCrCard,Balance,CreditScore,Exited
Germany,1,1,102603.3,747,0
Spain,0,1,0.0,707,0
Spain,0,0,0.0,590,0
Spain,1,1,105000.85,603,1
France,1,1,0.0,615,0
France,0,1,69518.95,634,0
Germany,1,1,126145.54,716,0
France,1,1,138937.35,647,1
Germany,0,1,113581.98,591,0
Germany,0,1,109387.9,459,0
Germany,0,1,122478.51,632,1
France,1,1,137732.23,683,0
France,1,1,157866.77,850,0
France,1,1,0.0,512,0
France,0,1,136789.14,616,1
France,1,1,0.0,664,0
France,1,1,144684.03,694,0
France,1,1,107065.31,655,0
France,1,0,91301.72,607,0
Spain,0,0,207034.96,684,1
